"Edit","Select Next Element","Shift+Alt+Right","Editing Java Source"
"Focused UI","Make Landmark","Shift+Ctrl+Alt+Up","In Windows"
"File","Save All","Shift+Ctrl+S","In Windows"
"File","Print","Ctrl+P","In Windows"
"Navigate","Go to Previous Member","Shift+Ctrl+Up","Editing Java Source"
"Text Editing","Delete Next Word","Ctrl+Delete","Editing Text"
"Edit","Quick Diff Toggle","Shift+Ctrl+Q","Editing Text"
"Run/Debug","Coverage Last Launched","Shift+Ctrl+F11","In Windows"
"Edit","Incremental Find","Ctrl+J","Editing Text"
"Source","Add Javadoc Comment","Shift+Alt+J","In Windows"
"Text Editing","Copy Lines","Ctrl+Alt+Down","Editing Text"
"Run/Debug","Run to Line","Ctrl+R","Debugging"
"Window","Maximize Active View or Editor","Ctrl+M","In Windows"
"Text Editing","Toggle Overwrite","Insert","Editing Text"
"Views","Show View (Type Hierarchy)","Shift+Alt+Q T","In Windows"
"Result Set","Edit cell","Shift+Enter","In Windows"
"Source","Quick Assist - Assign to local variable","Ctrl+2 L","Editing JavaScript Source"
"Navigate","Last Edit Location","Ctrl+Q","In Windows"
"Run/Debug","Next Page of Memory","Shift+Ctrl+.","In Table Memory Rendering"
"Run/Debug","Run Last Launched","Ctrl+F11","In Windows"
"Run/Debug","Run JUnit Test","Shift+Alt+X T","In Windows"
"Task Repositories","Mark Task Read and Go To Next Unread Task","Shift+Alt+Down","In Tasks View"
"Run/Debug","Coverage RAP JUnit Test","Shift+Alt+E R","In Windows"
"Result Set","Add row","Insert","In Windows"
"Edit","Toggle Comment","Shift+Ctrl+C","Editing in Structured Text Editors"
"Window","Show Contributing Plug-in","Shift+Alt+F3","In Dialogs and Windows"
"Edit","Find Previous","Shift+Ctrl+K","Editing Text"
"Window","Show System Menu","Alt+-","In Windows"
"Navigate","Open Type","Shift+Ctrl+T","Editing JavaScript Source"
"Navigate","Open Structure","Ctrl+F3","Editing JavaScript Source"
"Result Set","Toggle value view panel","F7","In Windows"
"Navigate","Open Manifest","Shift+Ctrl+Alt+M","In Windows"
"Result Set","Last row","Shift+Ctrl+Right","In Windows"
"Run/Debug","Debug Java Application","Shift+Alt+D J","In Windows"
"Run/Debug","Run Java Application","Shift+Alt+X J","In Windows"
"Source","Rename In File","Shift+Alt+R","Editing Ant Buildfiles"
"Navigate","Go to Next Member","Shift+Ctrl+Down","Editing Java Source"
"Source","Toggle Comment","Ctrl+/","Editing Properties Files"
"Run/Debug","Coverage TestNG Test","Shift+Alt+E N","In Windows"
"Edit","Toggle Block Selection","Shift+Alt+A","Editing Text"
"SQL Editor","Load SQL script","Ctrl+O","SQL Editor Context"
"Project Archives","Build Project Archives","Shift+Alt+Y B","In Windows"
"SQL Editor","Toggle Line Comment","Ctrl+/","SQL Editor Context"
"Navigate","Open Declaration","F3","In Windows"
"Text Editing","Next Word","Ctrl+Right","Editing Text"
"Task Repositories","Mark Task Unread","Shift+Alt+U","In Tasks View"
"Modules","Full Publish Module","Shift+Alt+Y F","In Windows"
"Run/Debug","Debug Java Applet","Shift+Alt+D A","In Windows"
"Edit","Select Enclosing Element","Shift+Alt+Up","Editing JavaScript Source"
"Source","Add Import","Shift+Ctrl+M","Editing Java Source"
"Modules","Restart Module","Shift+Alt+Y G","In Windows"
"SQL Editor","Execute SQL Script","Alt+X","SQL Editor Context"
"Result Set","Toggle Grid/Record view","Tab","In Windows"
"Views","Show View (Console)","Shift+Alt+Q C","In Windows"
"Navigate","Quick Outline","Ctrl+O","Editing JavaScript Source"
"Navigate","Collapse All","Shift+Ctrl+Numpad_Divide","In Windows"
"Navigate","Activate Task","Ctrl+F9","In Windows"
"Navigate","Backward History","Alt+Left","In Windows"
"Source","Add JSDoc Comment","Shift+Alt+J","JavaScript View"
"Database Navigator","Add Bookmark","Ctrl+D","In Windows"
"Text Editing","Insert Line Above Current Line","Shift+Ctrl+Enter","Editing Text"
"Navigate","Open Type Hierarchy","F4","JavaScript View"
"Result Set","Delete current row","Alt+Delete","In Windows"
"Edit","Select Next Element","Shift+Alt+Right","Editing JavaScript Source"
"Source","Add Import","Shift+Ctrl+M","Editing JavaScript Source"
"Edit","Add Maven Dependency","Shift+Ctrl+D","Editing XML Source"
"Views","JavaScript Type Hierarchy","Shift+Alt+Q T","JavaScript View"
"Source","Show Source Quick Menu","Shift+Alt+S","In Windows"
"Connection","Open Database Object ...","Shift+Ctrl+D","In Windows"
"Navigate","Open Type in Hierarchy","Shift+Ctrl+H","JavaScript View"
"Source","Toggle Comment","Shift+Ctrl+C","Editing JavaScript Source"
"Run/Debug","Use Step Filters","Shift+F5","In Windows"
"Task Repositories","Mark Task Incomplete","Shift+Alt+I","In Tasks View"
"Task Repositories","Mark Task Complete","Shift+Alt+C","In Tasks Editor"
"Run/Debug","Debug on Server","Shift+Alt+D R","In Windows"
"Window","Previous View","Shift+Ctrl+F7","In Windows"
"Terminal view commands","Terminal view insert","Alt+N","Terminal widget context"
"Edit","Select Previous Element","Shift+Alt+Left","Editing Java Source"
"Utility","Advanced Copy","Shift+Ctrl+C","In Windows"
"Navigate","Deactivate Task","Shift+Ctrl+F9","In Windows"
"Terminal view commands","Terminal view insert","Alt+T","Terminal widget context"
"Edit","Add Block Comment","Shift+Ctrl+/","Editing in Structured Text Editors"
"Run/Debug","Run OSGi Framework","Shift+Alt+X O","In Windows"
"Run/Debug","Close Rendering","Ctrl+W","In Memory View"
"Search","Show Occurrences in File Quick Menu","Shift+Ctrl+U","JavaScript View"
"Edit","Content Assist","Ctrl+Space","In Dialogs and Windows"
"Refactor - Java","Inline","Shift+Alt+I","In Windows"
"Edit","Toggle Insert Mode","Shift+Ctrl+Insert","Editing Text"
"Run/Debug","Coverage TestNG Suite","Shift+Alt+E G","In Windows"
"Source","Toggle Comment","Shift+Ctrl+C","Editing Properties Files"
"Terminal view commands","Terminal view insert","Alt+E","Terminal widget context"
"Run/Debug","Run Eclipse Application","Shift+Alt+X E","In Windows"
"File","Save","Ctrl+S","In Windows"
"Window","Show View Menu","Ctrl+F10","In Dialogs and Windows"
"Navigate","Open Call Hierarchy","Ctrl+Alt+H","JavaScript View"
"Edit","Find Next","Ctrl+K","Editing Text"
"JavaScript Debug","Evaluate","Shift+Alt+E","Editing JavaScript Source"
"Window","Update Project","Alt+F5","In Windows"
"Result Set","Inline edit","Enter","In Windows"
"Search","Open Search Dialog","Ctrl+H","In Windows"
"File","Rename","F2","In Windows"
"Uncategorized","Copy","Ctrl+C","In Git Reflog View"
"Source","Quick Assist - Assign to field","Ctrl+2 F","Editing Java Source"
"Source","Surround With Quick Menu","Shift+Alt+Z","JavaScript View"
"Views","Show View (Problems)","Shift+Alt+Q X","In Windows"
"SQL Editor","Execute New SQL Statement","Ctrl+\","SQL Editor Context"
"SonarQube","Analyze","Ctrl+Alt+Q","Editing Text"
"Visual Page Editor Category","Toggle selection tag bar","Ctrl+6","In Windows"
"Navigate","Quick Hierarchy","Ctrl+T","Editing Java Source"
"Text Editing","To Lower Case","Shift+Ctrl+Y","Editing Text"
"Connection","SQL Editor","Ctrl+L","In Windows"
"Run/Debug","Coverage JUnit Plug-in Test","Shift+Alt+E P","In Windows"
"Edit","Select Previous Element","Shift+Alt+Left","Editing in Structured Text Editors"
"Window","Show Key Assist","Shift+Ctrl+L","In Dialogs and Windows"
"Window","Previous Editor","Shift+Ctrl+F6","In Windows"
"Task Repositories","Open Selected Task","Ctrl+Enter","In Tasks View"
"Terminal view commands","Paste","Shift+Ctrl+V","Terminal widget context"
"Visual Page Editor Category","Externalize selected string...","Ctrl+7","In Windows"
"File","Close All","Shift+Ctrl+W","In Windows"
"Navigate","Go To Previous Unread Task","Alt+Up","In Tasks View"
"Visual Page Editor","Refresh","Ctrl+R","Visual Page Editor"
"Window","Previous Perspective","Shift+Ctrl+F8","In Windows"
"Source","Quick Assist - Assign to local variable","Ctrl+2 L","Editing Java Source"
"Edit","Next Sibling","Shift+Ctrl+Down","Editing in Structured Text Editors"
"Run/Debug","Coverage Scala Application","Shift+Alt+E L","In Windows"
"Source","Remove Block Comment","Shift+Ctrl+\","Editing Java Source"
"Task Editor","Maximize Part","Shift+Ctrl+M","In Tasks Editor"
"Refactor - JavaScript","Rename - Refactoring ","Shift+Alt+R","JavaScript View"
"Run/Debug","Resume","F8","Debugging"
"Navigate","Next Page","Alt+F7","In Windows"
"Source","Indent Line","Ctrl+I","Editing JavaScript Source"
"Terminal view commands","Terminal view insert","Alt+H","Terminal widget context"
"Views","Show View (Variables)","Shift+Alt+Q V","In Windows"
"Source","Show Source Quick Menu","Shift+Alt+S","JavaScript View"
"Navigate","Quick Outline","Ctrl+O","Editing Java Source"
"Run/Debug","Previous Page of Memory","Shift+Ctrl+,","In Table Memory Rendering"
"Connection","New SQL Editor","Ctrl+Alt+L","In Windows"
"Edit","Select Enclosing Element","Shift+Alt+Up","Editing Java Source"
"Git","Copy Path to Clipboard","Ctrl+C","In Git Repositories View"
"Edit","Run Query command","Ctrl+Enter","Editing HQL"
"Navigate","Quick Outline","Ctrl+O","Editing in Structured Text Editors"
"Edit","Restore Last Selection","Shift+Alt+Down","Editing in Structured Text Editors"
"Navigate","Quick Outline","Ctrl+O","PDE editor"
"Views","Show View (Javadoc)","Shift+Alt+Q J","In Windows"
"Edit","Select All","Ctrl+A","In Dialogs and Windows"
"Source","Remove Occurrence Annotations","Shift+Alt+U","Editing JavaScript Source"
"Text Editing","Duplicate Lines","Ctrl+Alt+Up","Editing Text"
"Navigate","Previous Sub-Tab","Alt+PageUp","In Dialogs and Windows"
"Source","Toggle Comment","Ctrl+7","Editing Properties Files"
"Uncategorized","Show Markup Cheat Sheet","F1","WikiText Markup Source Context"
"Navigate","Expand All","Shift+Ctrl+Numpad_Multiply","In Windows"
"Window","Next Editor","Ctrl+F6","In Windows"
"SQL Editor","Toggle Word Wrap","Ctrl+Alt+E","SQL Editor Context"
"Views","Show View (Extdoc)","Shift+Alt+Q E","In Windows"
"Navigate","Open Type Hierarchy","F4","In Windows"
"Navigate","Open Type in Hierarchy","Shift+Ctrl+H","In Windows"
"Terminal view commands","Terminal view insert","Alt+F","Terminal widget context"
"Server","Debug","Ctrl+Alt+D","In Servers View"
"Refactor - Java","Show Refactor Quick Menu","Shift+Alt+T","In Windows"
"Text Editing","Join Lines","Ctrl+Alt+J","Editing Text"
"View","Zoom Out","Ctrl+-","In Windows"
"Text Editing","Select Previous Word","Shift+Ctrl+Left","Editing Text"
"Focused UI","Show Context Quick View","Shift+Ctrl+Alt+Right","In Windows"
"Window","Activate Editor","F12","In Windows"
"Navigate","Open Attached Javadoc","Shift+F2","In Windows"
"Edit","Format Active Elements","Ctrl+I","Editing in Structured Text Editors"
"Views","Show View (Synchronize)","Shift+Alt+Q Y","In Windows"
"Edit","Restore Last Selection","Shift+Alt+Down","Editing Java Source"
"JavaScript Debug","Open Source","Shift+Ctrl+3","Debugging"
"Source","Toggle Comment","Ctrl+/","Editing Java Source"
"Task Repositories","Mark Task Read","Shift+Alt+R","In Tasks View"
"Chain Completion Category","Trigger Chain Completion Command","Shift+Ctrl+Space","Editing Java Source"
"Refactor - JavaScript","Show Refactor Quick Menu","Shift+Alt+T","JavaScript View"
"Edit","Format","Shift+Ctrl+F","Editing in Structured Text Editors"
"Text Editing","Move Lines Up","Alt+Up","Editing Text"
"CSS Dialog","Open CSS Dialog","Shift+Ctrl+C","Editing CSS Source"
"Navigate","Go to Matching Bracket","Shift+Ctrl+P","Editing JavaScript Source"
"Source","Format","Shift+Ctrl+F","Editing Java Source"
"Edit","Paste","Shift+Insert","In Dialogs and Windows"
"Edit","Restore Last Selection","Shift+Alt+Down","Editing JavaScript Source"
"Run/Debug","Next Memory Monitor","Ctrl+Alt+N","In Memory View"
"Server","Stop","Ctrl+Alt+S","In Servers View"
"Navigate","Quick Outline","Shift+Ctrl+O","Task Markup Editor Source Context"
"Source","Remove Block Comment","Shift+Ctrl+\","Editing JavaScript Source"
"PMD UI Commands","Review code","F7","XML Source Occurrences"
"Visual Page Editor","Jump","Shift+Ctrl+Tab","Visual Page Editor"
"Text Editing","Show Tooltip Description","F2","Editing Text"
"Task Repositories","Mark Task Incomplete","Shift+Alt+I","In Tasks Editor"
"Navigate","Open Call Hierarchy","Ctrl+Alt+H","In Windows"
"Window","Quick Access","Ctrl+3","In Windows"
"Refactor - JavaScript","Change Function Signature","Shift+Alt+C","JavaScript View"
"Search","Show Occurrences in File Quick Menu","Shift+Ctrl+U","In Windows"
"Run/Debug","Debug Last Launched","F11","In Windows"
"Edit","Copy","Ctrl+Insert","In Dialogs and Windows"
"Window","Next View","Ctrl+F7","In Windows"
"Navigate","Show In Breadcrumb","Shift+Alt+B","Editing Java Source"
"Run/Debug","Inspect","Shift+Ctrl+I","In Dialogs and Windows"
"Navigate","Go to Matching Bracket","Shift+Ctrl+P","Editing Java Source"
"Run/Debug","Coverage JUnit Test","Shift+Alt+E T","In Windows"
"Run/Debug","Display","Shift+Ctrl+V","In Dialogs and Windows"
"Terminal view commands","Terminal view insert","Alt+P","Terminal widget context"
"Source","Toggle Comment","Shift+Ctrl+C","Editing Java Source"
"Text Editing","Insert Line Below Current Line","Shift+Enter","Editing Text"
"Text Editing","Expand All","Ctrl+Numpad_Multiply","Editing Text"
"Views","Show View","Shift+Alt+Q Q","In Windows"
"Terminal view commands","Terminal view insert","Alt+V","Terminal widget context"
"Run/Debug","New Rendering","Ctrl+N","In Memory View"
"Navigate","Next Sub-Tab","Alt+PageDown","In Dialogs and Windows"
"Focused UI","Make Less Interesting","Shift+Ctrl+Alt+Down","In Windows"
"Refactor - JavaScript","Move - Refactoring ","Shift+Alt+V","JavaScript View"
"Views","Show View (Cheat Sheets)","Shift+Alt+Q H","In Windows"
"Task Repositories","Mark Task Unread","Shift+Alt+U","In Tasks Editor"
"Source","Open Declaration","F3","Editing Ant Buildfiles"
"Window","Quick Switch Editor","Ctrl+E","In Windows"
"Run/Debug","Coverage Java Application","Shift+Alt+E J","In Windows"
"Edit","Open Selection","F3","Editing in Structured Text Editors"
"Window","Show Ruler Context Menu","Ctrl+F10","Editing Text"
"Server","Run","Ctrl+Alt+R","In Servers View"
"Navigate","Open Task","Ctrl+F12","In Windows"
"Edit","Matching Tag","Shift+Ctrl+>","Editing in Structured Text Editors"
"Navigate","Show In Breadcrumb","Shift+Alt+B","Editor Breadcrumb Navigation"
"Connection","SQL Editor","Alt+L","In Windows"
"Navigate","Open Resource","Shift+Ctrl+R","In Windows"
"Source","Add Block Comment","Shift+Ctrl+/","Editing JavaScript Source"
"Navigate","Go to Line","Ctrl+L","Editing Text"
"Navigate","Quick Hierarchy","Ctrl+T","Editing JavaScript Source"
"Search","References in Workspace","Shift+Ctrl+G","JavaScript View"
"Edit","Delete","Delete","In Windows"
"Navigate","Next","Ctrl+.","In Windows"
"Search","Find Text in Workspace","Ctrl+Alt+G","In Windows"
"Run/Debug","Coverage Eclipse Application","Shift+Alt+E E","In Windows"
"Source","Format","Shift+Ctrl+F","Editing Ant Buildfiles"
"Navigate","Previous","Ctrl+,","In Windows"
"File","Close All","Shift+Ctrl+F4","In Windows"
"WindowBuilder Pro","Empty command","Shift+Ctrl+A","WindowBuilder Java scope"
